"id","nconst"
966,"nm0363465"
966,"nm0620586"
966,"nm1267013"
966,"nm0693516"
966,"nm0076800"
966,"nm0130633"
966,"nm0854414"
966,"nm1808145"
966,"nm0216066"
2254,"nm0762935"
2254,"nm0421945"
2254,"nm0381005"
2254,"nm0478475"
2254,"nm1266292"
5753,"nm0916665"
5753,"nm0534221"
5753,"nm0806565"
4542,"nm0150221"
4542,"nm0527485"
4542,"nm0170038"
4542,"nm0823225"
4542,"nm0830335"
4542,"nm0489493"
4542,"nm0352726"
6276,"nm0628557"
6276,"nm0263075"
6276,"nm0232713"
6276,"nm0551365"
6276,"nm0551361"
306,"nm0767931"
306,"nm14997123"
306,"nm14997122"
306,"nm6706958"
306,"nm6706959"
306,"nm6706957"
306,"nm0723440"
306,"nm0950148"
306,"nm0531342"
5023,"nm0005658"
5023,"nm0519227"
5023,"nm0909825"
5023,"nm0797094"
5023,"nm0228746"
5023,"nm0178270"
5023,"nm0000428"
5023,"nm0808571"
5023,"nm0106922"
5023,"nm0366008"
5023,"nm0910400"
5023,"nm0507635"
5023,"nm0014894"
5023,"nm0809817"
5023,"nm0940488"
5023,"nm0187981"
5023,"nm0017488"
5023,"nm0550615"
5023,"nm0376221"
1760,"nm0119569"
1760,"nm0854719"
1847,"nm0282853"
1847,"nm0581115"
6244,"nm0454545"
5844,"nm0818149"
5844,"nm0397211"
5844,"nm0150188"
5844,"nm0402003"
3873,"nm0501163"
3873,"nm0353956"
3873,"nm0809743"
6624,"nm0734152"
509,"nm0512153"
509,"nm0116569"
1553,"nm0256221"
1553,"nm0021020"
1553,"nm0562945"
1553,"nm0445318"
1721,"nm0455515"
142,"nm0769584"
142,"nm0341554"
142,"nm0493073"
142,"nm0795053"
142,"nm0086632"
6401,"nm0709047"
6401,"nm0180950"
6401,"nm0038028"
6401,"nm0212422"
6401,"nm0276145"
6401,"nm0123644"
6401,"nm0347532"
4247,"nm0458837"
4247,"nm0783834"
4247,"nm1801327"
4247,"nm9892419"
4247,"nm0042703"
4247,"nm0938744"
4247,"nm1802888"
4247,"nm0263912"
4247,"nm0719714"
2763,"nm0517340"
2763,"nm0784461"
2763,"nm0447855"
3044,"nm0076202"
3044,"nm0403465"
3044,"nm0282366"
3044,"nm0027244"
3044,"nm0561651"
3044,"nm0483611"
3044,"nm0355829"
3044,"nm0358737"
3726,"nm0027367"
3726,"nm0836021"
910,"nm0005658"
910,"nm0187981"
910,"nm0000428"
1827,"nm0816232"
1827,"nm0614234"
5735,"nm0926191"
5735,"nm0537556"
5735,"nm0001196"
5735,"nm0001935"
5735,"nm0568282"
5735,"nm0238872"
5735,"nm0208671"
5735,"nm0191547"
5735,"nm0209323"
6863,"nm0026957"
6863,"nm0854776"
6863,"nm0948673"
6863,"nm0872453"
6863,"nm0046791"
6863,"nm0111577"
6863,"nm0107979"
6863,"nm0212422"
5144,"nm0046947"
5144,"nm0156517"
5144,"nm0355578"
2366,"nm0635589"
2366,"nm0207592"
2366,"nm0463335"
2366,"nm0163369"
2366,"nm0207590"
2366,"nm0549045"
2705,"nm0034668"
2705,"nm0872476"
2705,"nm0040471"
2705,"nm0139862"
5880,"nm0014363"
5880,"nm0481248"
5880,"nm0803705"
5880,"nm0096737"
5880,"nm0782943"
5880,"nm0959818"
5880,"nm0043509"
5880,"nm0526479"
5880,"nm0841061"
5880,"nm0917912"
5880,"nm0005748"
5880,"nm0391474"
3034,"nm0573743"
3034,"nm0286666"
3034,"nm0725909"
5737,"nm0492208"
5737,"nm0933563"
5737,"nm0394968"
5737,"nm0613244"
3352,"nm0079655"
3352,"nm0628084"
3352,"nm0929477"
3352,"nm0574431"
599,"nm0635589"
1562,"nm0415167"
1562,"nm0287008"
1562,"nm0919684"
1562,"nm0253301"
1562,"nm0002154"
1562,"nm0772300"
1562,"nm0324553"
1562,"nm0956802"
1562,"nm0313308"
1562,"nm0250790"
1562,"nm0725332"
1562,"nm0459030"
4252,"nm0853130"
650,"nm0668141"
6035,"nm0798130"
6146,"nm0909825"
6146,"nm0634366"
6146,"nm0426710"
6146,"nm0001196"
6146,"nm0067634"
566,"nm0037849"
566,"nm0387551"
566,"nm0115115"
632,"nm10226747"
632,"nm1159058"
632,"nm1158915"
632,"nm0090434"
632,"nm0031446"
632,"nm1160085"
632,"nm1818632"
632,"nm10226746"
632,"nm0012810"
632,"nm0327150"
632,"nm0689869"
632,"nm0017893"
632,"nm0005903"
632,"nm0001178"
632,"nm1206447"
632,"nm0019886"
